2018-03-13 10:29:27 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-13 10:29:27 EXEC SPC_GET_CONSTANT '';
2018-03-13 10:29:41 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-03-13 10:30:02 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 10:30:03 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 10:30:03 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-13 10:30:03 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 10:30:03 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 10:30:07 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010007';
2018-03-13 10:30:11 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010018';
2018-03-13 10:30:14 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:30:14 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:30:14 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:30:38 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:30:38 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:30:38 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:30:47 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND1 '000115','','','','','';
2018-03-13 10:31:21 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:31:21 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:31:21 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:31:52 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 10:31:52 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-13 10:31:52 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 10:31:52 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 10:31:52 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 10:31:55 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010007';
2018-03-13 10:32:03 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010018';
2018-03-13 10:32:06 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:32:06 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:32:06 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:32:36 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 10:32:36 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 10:32:36 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 10:32:36 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 10:32:39 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010007';
2018-03-13 10:32:42 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010018';
2018-03-13 10:32:46 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:32:46 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:32:46 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:33:20 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:33:20 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:33:21 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:36:43 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 10:36:43 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 10:36:43 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 10:36:43 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 10:36:43 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-13 10:36:45 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010007';
2018-03-13 10:36:49 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010018';
2018-03-13 10:36:52 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:36:52 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:36:52 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:36:52 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND3 '','4';
2018-03-13 10:37:13 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 10:37:13 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 10:37:13 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-13 10:37:13 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 10:37:13 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 10:37:15 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010007';
2018-03-13 10:37:19 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010018';
2018-03-13 10:37:22 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:37:22 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:37:22 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND3 '','3';
2018-03-13 10:37:22 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:37:38 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 10:37:38 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 10:37:38 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 10:37:38 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 10:37:38 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-13 10:38:28 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010007';
2018-03-13 10:38:32 EXEC SPC_010_SHIPMENT_DETAIL_INQ1 'J-18010018';
2018-03-13 10:38:34 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-03-13 10:38:34 EXEC SPC_COM_GET_COMBOBOX 'serial_forward_div';
2018-03-13 10:38:35 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND2 'J-18010018','000115';
2018-03-13 10:38:35 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND3 '','3';
2018-03-13 10:39:14 EXEC SPC_102_SHIPMENT_SERIAL_SEARCH_FND1 '000115','','','','','';
2018-03-13 10:43:10 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 10:43:12 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:43:19 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','0','1','10';
2018-03-13 10:43:22 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','1','1','10';
2018-03-13 10:44:10 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','1','1','10';
2018-03-13 10:44:14 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-03-13 10:44:14 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-03-13 10:44:15 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-03-13 10:44:15 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-03-13 10:44:16 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-03-13 10:44:16 EXEC SPC_COM_GET_COMBOBOX 'storage_manager_div';
2018-03-13 10:44:16 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-03-13 10:44:16 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-03-13 10:44:16 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-03-13 10:44:16 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-03-13 10:44:16 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-03-13 10:44:19 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 10:44:23 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:44:26 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','0','1','10';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-03-13 10:44:30 EXEC SPC_COM_GET_COMBOBOX 'storage_manager_div';
2018-03-13 10:44:43 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 10:44:47 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','1','1','10';
2018-03-13 10:44:50 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','0','1','10';
2018-03-13 10:44:53 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:45:20 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','50';
2018-03-13 10:45:21 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','50';
2018-03-13 10:45:25 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:45:29 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:49:34 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 10:49:35 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:49:46 EXEC SPC_015_INVOICE_SEARCH_FND1 '2018/02/21','2018/03/03','E-180301001','','','','','','1','10';
2018-03-13 10:49:53 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301001','','','','','','1','10';
2018-03-13 10:50:04 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301001','','','','','','3','10';
2018-03-13 10:50:09 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301002','','','','','','1','10';
2018-03-13 10:50:17 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301354','','','','','','1','10';
2018-03-13 10:50:24 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:52:18 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 10:52:19 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 10:52:24 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301','','','','','','1','10';
2018-03-13 10:52:29 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301','','','','','','4','10';
2018-03-13 10:52:59 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301 00','','','','','','1','10';
2018-03-13 10:53:07 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301 01','','','','','','1','10';
2018-03-13 11:05:49 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 11:26:55 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','0';
2018-03-13 11:27:32 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','4','10';
2018-03-13 11:33:44 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','1','1','10';
2018-03-13 11:33:48 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','0','1','10';
2018-03-13 11:33:50 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','0','3','10';
2018-03-13 11:33:58 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','AD','','0','1','10';
2018-03-13 11:34:02 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','AD','','0','3','10';
2018-03-13 11:34:07 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','ADD','','0','1','10';
2018-03-13 11:34:13 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','0','1','10';
2018-03-13 12:02:44 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 12:02:45 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 12:02:45 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 12:02:45 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-13 12:02:45 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 12:16:09 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 12:16:38 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 12:16:39 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 12:16:43 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301001','','','','','','1','10';
2018-03-13 12:17:02 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301 01','','','','','','1','10';
2018-03-13 12:17:10 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','E-180301 02','','','','','','1','10';
2018-03-13 12:25:36 EXEC SPC_COM_GET_COMBOBOX 'forwarding_div';
2018-03-13 12:25:36 EXEC SPC_COM_GET_COMBOBOX 'forwarding_way_div';
2018-03-13 12:25:36 EXEC SPC_COM_GET_COMBOBOX 'forwarding_warehouse_div';
2018-03-13 12:25:36 EXEC SPC_COM_GET_COMBOBOX 'packing_method_div';
2018-03-13 12:25:36 EXEC SPC_COM_GET_COMBOBOX 'forwarder_div';
2018-03-13 12:31:05 EXEC SPC_103_CHECK_LIST_INQ1 '';
2018-03-13 15:09:30 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 15:09:32 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 16:02:27 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 16:02:29 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 16:02:48 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-03-13 16:02:49 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-03-13 16:02:49 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-03-13 16:02:49 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-03-13 16:02:49 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';

2018-03-13 16:02:50 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-03-13 16:02:50 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-03-13 16:02:50 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-03-13 16:02:50 EXEC SPC_COM_GET_COMBOBOX 'storage_manager_div';
2018-03-13 16:02:50 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-03-13 16:02:53 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 16:02:54 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 16:04:00 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 16:04:06 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 16:04:17 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 16:04:19 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 16:04:23 EXEC SPC_GET_CONSTANT '';
2018-03-13 16:04:23 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-13 16:37:48 EXEC SPC_GET_CONSTANT '';
2018-03-13 16:37:48 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"},{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-13 16:37:57 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','1','1','10';
2018-03-13 16:38:01 EXEC SPC_GET_CONSTANT '';
2018-03-13 16:38:01 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301002"},{"inv_no":"E-180301003"}]','','015-invoice-search','';
2018-03-13 17:24:29 EXEC SPC_GET_CONSTANT '';
2018-03-13 17:24:29 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301003"}]','','015-invoice-search','';
2018-03-13 17:37:49 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 17:37:53 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-03-13 17:37:54 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-03-13 17:37:54 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-03-13 17:37:55 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-03-13 17:37:55 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-03-13 17:37:55 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-03-13 17:37:55 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-03-13 17:37:55 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
ns_div';
2018-03-13 17:37:55 EXEC SPC_COM_GET_COMBOBOX 'storage_manager_div';
2018-03-13 17:37:55 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-03-13 17:37:57 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 17:37:59 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 17:38:04 EXEC SPC_GET_CONSTANT '';
2018-03-13 17:38:04 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-13 17:38:10 EXEC SPC_GET_CONSTANT '';
2018-03-13 17:38:10 EXEC SPC_016_INVOICE_EXPORT_ACT2 '[{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-13 17:39:46 EXEC SPC_GET_CONSTANT '';
2018-03-13 17:39:46 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-13 18:14:40 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-13 18:18:20 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 18:18:31 EXEC SPC_GET_CONSTANT '';
2018-03-13 18:18:31 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-13 18:20:58 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 18:21:02 EXEC SPC_COM_GET_COMBOBOX 'pi_status_div';
2018-03-13 18:21:16 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-13 18:21:21 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','20','1','10';
2018-03-13 18:21:26 EXEC SPC_GET_CONSTANT '';
2018-03-13 18:21:26 EXEC SPC_003_PI_EXCEL_ACT1 '[{"pi_no":"RT-131017001","pi_status_div":"20"}]','','003_pi-excel','';
2018-03-13 18:22:07 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','20','96','10';
2018-03-13 18:22:12 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','20','95','10';
2018-03-13 18:22:19 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','20','94','10';
2018-03-13 18:22:23 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','20','93','10';
