2018-02-27 10:43:43 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-02-27 10:43:43 EXEC SPC_GET_CONSTANT '';
2018-02-27 10:43:55 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-02-27 10:46:21 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-02-27 10:46:24 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:46:26 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 10:46:26 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 10:50:15 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:50:15 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 10:50:15 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 10:50:28 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:50:39 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:50:39 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 10:50:40 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 10:51:11 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:51:11 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 10:51:12 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 10:51:53 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:51:53 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 10:51:54 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 10:52:20 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:52:21 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 10:52:21 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 10:52:27 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:53:06 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-02-27 10:54:06 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-02-27 10:54:12 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 10:54:12 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 10:54:13 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 10:54:21 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT2 'KI201802230001','001','031_purchase_request','192.168.5.206';
2018-02-27 10:54:29 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT3 'KI201802230001','001','031_purchase_request','192.168.5.206';
2018-02-27 10:54:32 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-02-27 10:54:32 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-02-27 11:43:09 EXEC SPC_GET_CONSTANT '';
2018-02-27 11:44:07 EXEC SPC_GET_CONSTANT '';
2018-02-27 11:44:48 EXEC SPC_GET_CONSTANT '';
2018-02-27 11:44:48 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 11:44:58 EXEC SPC_GET_CONSTANT '';
2018-02-27 11:44:58 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 11:45:11 EXEC SPC_GET_CONSTANT '';
2018-02-27 11:45:11 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230002';
2018-02-27 11:46:35 EXEC SPC_GET_CONSTANT '';
2018-02-27 11:46:35 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 11:49:31 EXEC SPC_GET_CONSTANT '';
2018-02-27 11:49:31 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 11:58:48 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:01:47 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:01:47 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:02:13 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:02:13 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:02:41 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:02:41 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:02:52 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:02:52 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:03:41 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:03:41 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:04:15 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:04:15 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:04:32 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:04:32 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:05:30 EXEC SPC_GET_CONSTANT '';
2018-02-27 12:05:30 EXEC SPC_033_PURCHASE_REQUEST_EXPORT_ACT1 'KI201802230002','001','033_purchase_request-excel','192.168.5.206';
2018-02-27 12:06:55 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 12:06:57 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230001';
2018-02-27 12:06:58 EXEC SPC_GET_TAX_RATE '2018/02/23';
2018-02-27 12:07:01 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT2 'KI201802230001','001','031_purchase_request','192.168.5.206';
2018-02-27 12:07:09 EXEC SPC_COM_GET_COMBOBOX 'buy_status_div';
2018-02-27 12:07:11 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-02-27 12:07:12 EXEC SPC_032_PURCHASE_REQUEST_SEARCH_FND1 '','','','','','','','1','10';
2018-02-27 12:07:19 EXEC SPC_GET_TAX_RATE '2018/02/27';
2018-02-27 12:07:19 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802230003';
