2018-03-21 11:16:34 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:16:34 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:16:37 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050007';
2018-03-21 11:17:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:17:14 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:17:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:17:17 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:17:20 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050006';
2018-03-21 11:18:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:18:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:18:02 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:18:07 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:18:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:18:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:18:39 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:18:42 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:18:45 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:18:58 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:18:58 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:18:58 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:19:01 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050002';
2018-03-21 11:19:03 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050001';
2018-03-21 11:19:07 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050005';
2018-03-21 11:37:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:37:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:37:37 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
2018-03-21 11:37:39 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:39:21 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-21 11:39:21 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:39:22 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201701050003';
2018-03-21 11:42:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-21 11:42:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
