2018-03-28 10:29:30 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-28 10:29:30 EXEC SPC_GET_CONSTANT '';
2018-03-28 10:30:49 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 10:30:50 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 10:58:56 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 10:58:56 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 10:59:29 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-28 11:00:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:00:39 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:01:53 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-28 11:01:57 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-28 11:02:00 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000115';
2018-03-28 11:02:11 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT2 '[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"20","in_out_qty":"1","detail_remarks":""}]';
2018-03-28 11:02:12 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'I','','5','2018/03/27','00','so0004','','[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"20","in_out_qty":"1","detail_remarks":""}]','001','048_input_output_detail','192.168.5.206';
2018-03-28 11:02:13 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201803280001';
2018-03-28 11:02:18 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT2 '[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"20","in_out_qty":"1","detail_remarks":""}]';
2018-03-28 11:02:20 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT1 'I','SY201803280001','5','2018/03/28','00','so0004','','[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"20","in_out_qty":"1","detail_remarks":""}]','001','048_input_output_detail','192.168.5.206';
2018-03-28 11:02:21 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ1 'SY201803280002';
2018-03-28 11:04:44 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-28 11:04:46 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000114';
2018-03-28 11:05:06 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000113';
2018-03-28 11:06:00 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000114';
2018-03-28 11:46:18 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:46:18 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:46:38 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:46:38 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:46:46 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:46:46 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:46:56 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:46:56 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:47:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:47:02 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:47:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:47:36 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:47:49 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:47:49 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:47:57 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:47:57 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:48:45 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:48:45 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:48:55 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
v';
2018-03-28 11:49:58 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-28 11:50:00 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000115';
2018-03-28 11:50:08 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-28 11:50:19 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT2 '[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"XXX123","in_out_qty":"1","detail_remarks":""}]';
2018-03-28 11:50:33 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT2 '[{"in_out_detail_no":"1","item_cd":"000115","serial_no":"123455","in_out_qty":"1","detail_remarks":""}]';
2018-03-28 11:50:40 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 'style=';
2018-03-28 11:50:44 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '00011=';
2018-03-28 11:50:48 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000115';
2018-03-28 11:52:00 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-28 11:52:00 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-28 11:52:06 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-28 11:52:11 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-28 11:52:13 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000115';
