2018-02-21 10:33:22 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-02-21 10:33:22 EXEC SPC_GET_CONSTANT '';
2018-02-21 10:33:40 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-02-21 10:33:41 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-02-21 10:33:42 EXEC SPC_COM_GET_COMBOBOX 'bank_div';
2018-02-21 10:33:42 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-02-21 10:33:42 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-02-21 10:33:42 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-02-21 10:33:42 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-02-21 10:33:42 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-02-21 10:33:43 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-02-21 10:33:43 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-02-21 10:33:43 EXEC SPC_GET_TAX_RATE '2018/02/21';
2018-02-21 10:33:43 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-02-21 10:33:50 EXEC SPC_COM_GET_COMBOBOX 'pi_status_div';
2018-02-21 10:34:41 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','1','10';
2018-02-21 10:34:50 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','2','10';
2018-02-21 10:34:51 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','3','10';
2018-02-21 10:34:52 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','4','10';
2018-02-21 10:34:54 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','5','10';
2018-02-21 10:34:55 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','6','10';
2018-02-21 10:34:57 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','100','10';
2018-02-21 10:35:01 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','99','10';
2018-02-21 10:39:03 EXEC SPC_GET_TAX_RATE '';
2018-02-21 10:40:06 EXEC SPC_GET_TAX_RATE '';
2018-02-21 10:40:47 EXEC SPC_COM_GET_COMBOBOX 'pi_status_div';
2018-02-21 10:40:50 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-02-21 10:40:50 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-02-21 10:40:51 EXEC SPC_GET_TAX_RATE '2018/02/21';

2018-02-21 10:40:51 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-02-21 10:40:52 EXEC SPC_COM_GET_COMBOBOX 'pi_status_div';
2018-02-21 10:40:53 EXEC SPC_002_PI_SEARCH_FND1 '','','','','','','','','99','10';
2018-02-21 10:40:55 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-02-21 10:40:55 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-02-21 10:40:55 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-02-21 10:40:55 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-02-21 10:40:55 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-02-21 10:40:55 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-02-21 10:40:56 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-02-21 10:40:56 EXEC SPC_COM_GET_COMBOBOX 'bank_div';
2018-02-21 10:40:56 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-02-21 10:40:56 EXEC SPC_GET_TAX_RATE '2018/02/21';
2018-02-21 10:40:56 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-02-21 10:40:56 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-02-21 10:41:02 EXEC SPC_GET_TAX_RATE '';
2018-02-21 10:44:29 EXEC SPC_GET_TAX_RATE '';
2018-02-21 10:44:43 EXEC SPC_GET_TAX_RATE '';
2018-02-21 10:44:48 EXEC SPC_GET_TAX_RATE '2018/02/24';
2018-02-21 10:44:54 EXEC SPC_055_SUPPLIERS_MASTER_SEARCH_FND1 '','','','','','','0','0','0','1','10';
2018-02-21 10:44:55 EXEC SPC_REFER_CLIENT_CD '001';
2018-02-21 10:45:20 EXEC SPC_069_COMPONENT_MASTER_SEARCH_FND1 '','','','1','10';
2018-02-21 10:45:21 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ2 '000122','001';
2018-02-21 10:45:38 EXEC SPC_GET_TAX_RATE '';
2018-02-21 10:45:42 EXEC SPC_GET_TAX_RATE '2018/02/22';
2018-02-21 10:49:50 EXEC SPC_GET_TAX_RATE '';
2018-02-21 10:50:43 EXEC SPC_GET_TAX_RATE '';
2018-02-21 11:02:49 EXEC SPC_GET_TAX_RATE '';
2018-02-21 11:03:53 EXEC SPC_GET_TAX_RATE '2018/02/24';
2018-02-21 11:03:57 EXEC SPC_055_SUPPLIERS_MASTER_SEARCH_FND1 '','','','','','','0','0','0','1','10';
2018-02-21 11:03:59 EXEC SPC_REFER_CLIENT_CD '1111';
2018-02-21 11:07:17 EXEC SPC_069_COMPONENT_MASTER_SEARCH_FND1 '','','','1','10';
2018-02-21 11:07:20 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ2 '20505','1111';
2018-02-21 11:08:08 EXEC SPC_GET_TAX_RATE '';
2018-02-21 11:10:56 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802120006';
2018-02-21 11:10:57 EXEC SPC_GET_TAX_RATE '2018-02-22';
2018-02-21 11:14:56 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT1 'U','KI201802120006','20','2018-02-22','666','仕入先担当者名','件名','2018-02-24','備考','[{"buy_detail_no":"1","parts_cd":"000123","buy_qty":"20","buy_unit_price":"10","buy_detail_amt":"200","buy_detail_tax":"2","detail_remarks":"abc"},{"buy_detail_no":"2","parts_cd":"20501","buy_qty":"70","buy_unit_price":"10","buy_detail_amt":"700","buy_detail_tax":"8","detail_remarks":"0"},{"buy_detail_no":"3","parts_cd":"20501","buy_qty":"10","buy_unit_price":"10","buy_detail_amt":"100","buy_detail_tax":"1","detail_remarks":"0"}]','1000','281','12','1012','001','031_purchase_request-detail','192.168.5.206';
2018-02-21 11:14:57 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802120006';
2018-02-21 11:14:58 EXEC SPC_GET_TAX_RATE '2018-02-22';
2018-02-21 11:15:09 EXEC SPC_GET_TAX_RATE '';
2018-02-21 11:15:11 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802120006';
2018-02-21 11:15:12 EXEC SPC_GET_TAX_RATE '2018-02-22';
2018-02-21 11:15:17 EXEC SPC_055_SUPPLIERS_MASTER_SEARCH_FND1 '','','','','','','0','0','0','1','10';
2018-02-21 11:15:21 EXEC SPC_REFER_CLIENT_CD 'ape76';
2018-02-21 11:15:25 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_ACT1 'U','KI201802120006','20','2018-02-22','ape76','仕入先担当者名','件名','2018-02-24','備考','[{"buy_detail_no":"1","parts_cd":"000123","buy_qty":"20","buy_unit_price":"10","buy_detail_amt":"200","buy_detail_tax":"2","detail_remarks":"abc"},{"buy_detail_no":"2","parts_cd":"20501","buy_qty":"70","buy_unit_price":"10","buy_detail_amt":"700","buy_detail_tax":"8","detail_remarks":"0"},{"buy_detail_no":"3","parts_cd":"20501","buy_qty":"10","buy_unit_price":"10","buy_detail_amt":"100","buy_detail_tax":"1","detail_remarks":"0"}]','1000','281','12','1012','001','031_purchase_request-detail','192.168.5.206';
2018-02-21 11:15:26 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802120006';
2018-02-21 11:15:27 EXEC SPC_GET_TAX_RATE '2018-02-22';
2018-02-21 11:15:52 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-02-21 11:15:52 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-02-21 11:15:53 EXEC SPC_GET_TAX_RATE '2018/02/21';
2018-02-21 11:15:53 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-02-21 11:15:53 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-02-21 11:15:53 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-02-21 11:15:53 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-02-21 11:15:53 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-02-21 11:15:54 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-02-21 11:15:54 EXEC SPC_COM_GET_COMBOBOX 'bank_div';
2018-02-21 11:15:54 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
2018-02-21 11:15:54 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-02-21 11:17:58 EXEC SPC_GET_TAX_RATE '';
2018-02-21 11:18:12 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'TXT_parts_cd';
2018-02-21 11:18:19 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 '';
2018-02-21 11:18:23 EXEC SPC_031_PURCHASE_REQUEST_DETAIL_INQ1 'KI201802120006';
2018-02-21 11:18:24 EXEC SPC_GET_TAX_RATE '2018-02-22';
2018-02-21 11:18:31 EXEC SPC_055_SUPPLIERS_MASTER_SEARCH_FND1 '','','','','','','0','0','0','1','10';
2018-02-21 11:18:34 EXEC SPC_REFER_CLIENT_CD 'ape76';
2018-02-21 11:19:03 EXEC SPC_GET_TAX_RATE '';
