2018-03-19 10:25:43 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-19 10:25:43 EXEC SPC_GET_CONSTANT '';
2018-03-19 10:37:42 EXEC SPC_GET_TAX_RATE '2018/03/19';
2018-03-19 10:39:24 EXEC SPC_COM_GET_COMBOBOX 'fwd_status_div';
2018-03-19 10:47:05 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','','1','10';
2018-03-19 10:47:08 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','10','1','10';
2018-03-19 10:47:11 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','20','1','10';
2018-03-19 10:47:14 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','10','1','10';
2018-03-19 10:49:47 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-19 10:49:47 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-19 10:50:44 EXEC SPC_072_COMPONENT_LIST_SEARCH_FND1 '','','1','10';
2018-03-19 10:51:06 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-19 10:51:06 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-19 11:01:17 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-19 11:01:17 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-19 11:01:18 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
2018-03-19 11:01:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-19 11:01:22 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-19 11:03:09 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-19 11:03:09 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-19 11:03:13 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-19 11:03:14 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
2018-03-19 11:03:14 EXEC SPC_049_INPUT_OUTPUT_FND1 '','','','','','','','1','10';
