2018-05-16 10:17:43 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-05-16 10:17:43 EXEC SPC_GET_CONSTANT '';
2018-05-16 10:28:09 EXEC SPC_COM_GET_COMBOBOX 'outsourcing_div';
2018-05-16 10:28:09 EXEC SPC_COM_GET_COMBOBOX 'done_div';
2018-05-16 10:28:09 EXEC SPC_COM_GET_COMBOBOX 'production_status_div';
2018-05-16 10:28:31 EXEC SPC_027_MANUFACTURING_INSTRUCTION_SEARCH_FND1 '','','','','','','','','','','1','10';
2018-05-16 10:29:33 EXEC SPC_027_MANUFACTURING_INSTRUCTION_SEARCH_FND1 '','','','','','','','','','','1','10';
2018-05-16 10:33:14 EXEC SPC_027_MANUFACTURING_INSTRUCTION_SEARCH_FND1 '','','','','','','','','','','1','0';
2018-05-16 10:33:20 EXEC SPC_027_MANUFACTURING_INSTRUCTION_EXPORT_ACT1 '[{"manufacture_no":"20180001"}]','001','027_manufacturing-instruction-search','192.168.5.206';
2018-05-16 10:35:30 EXEC SPC_027_MANUFACTURING_INSTRUCTION_SEARCH_FND1 '','','','','','','','','','','1','10';
2018-05-16 13:41:40 EXEC SPC_COM_GET_COMBOBOX 'port_country_div';
2018-05-16 13:41:40 EXEC SPC_COM_GET_COMBOBOX 'unit_q_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'payment_conditions_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'currency_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'shipment_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'trade_terms_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'port_city_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'unit_w_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'unit_m_div';
2018-05-16 13:41:41 EXEC SPC_COM_GET_COMBOBOX 'sales_detail_div';
