2018-06-26 17:22:28 EXEC SPC_073_LOGIN_ACT1 '812','812';
2018-06-26 17:22:28 EXEC SPC_GET_CONSTANT '';
2018-06-26 17:22:41 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','view';
2018-06-26 17:22:41 EXEC SPC_038_STOCKING_DETAIL_INQ1 '';
2018-06-26 17:22:41 EXEC SPC_038_STOCKING_DETAIL_INQ2 '2018-06-26';
2018-06-26 17:23:19 EXEC SPC_GET_ITEM '1';
2018-06-26 17:23:21 EXEC SPC_GET_ITEM '22';
2018-06-26 17:23:22 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','search';
2018-06-26 17:23:22 EXEC SPC_038_STOCKING_DETAIL_FND1 '22','','','','','','1','10';
2018-06-26 17:23:24 EXEC SPC_GET_ITEM '';
2018-06-26 17:23:25 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','search';
2018-06-26 17:23:25 EXEC SPC_038_STOCKING_DETAIL_FND1 '','','','','','','1','10';
2018-06-26 17:23:26 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','search';
2018-06-26 17:23:26 EXEC SPC_038_STOCKING_DETAIL_FND1 '','','','','','','1','10';
2018-06-26 17:23:27 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','search';
2018-06-26 17:23:27 EXEC SPC_038_STOCKING_DETAIL_FND1 '','','','','','','1','10';
2018-06-26 17:23:49 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','view';
2018-06-26 17:23:49 EXEC SPC_038_STOCKING_DETAIL_INQ1 '';
2018-06-26 17:23:49 EXEC SPC_038_STOCKING_DETAIL_INQ2 '2018-06-26';
2018-06-26 17:23:52 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','search';
2018-06-26 17:23:52 EXEC SPC_038_STOCKING_DETAIL_FND1 '','','','','','','1','10';
2018-06-26 17:23:54 EXEC SPC_GET_PERMISSION_AUTH '999','stocking-detail','search';
2018-06-26 17:23:54 EXEC SPC_038_STOCKING_DETAIL_FND1 '','','','','','','1','10';
