2018-03-30 10:32:33 EXEC SPC_073_LOGIN_ACT1 '001','123456';
2018-03-30 10:32:33 EXEC SPC_GET_CONSTANT '';
2018-03-30 10:33:34 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-30 10:33:35 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-30 10:34:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-30 10:34:14 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-30 17:50:21 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-30 17:50:27 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-30 17:50:29 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '000110';
2018-03-30 17:50:56 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-30 17:50:57 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-30 17:51:00 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-30 17:51:00 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-30 17:51:04 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-30 17:51:04 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-30 17:51:09 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-30 17:51:13 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-30 17:51:14 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '00001';
2018-03-30 17:51:20 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '00001';
2018-03-30 17:52:30 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '0003';
2018-03-30 17:53:11 EXEC SPC_COM_GET_COMBOBOX 'rcv_status_div';
2018-03-30 17:53:16 EXEC SPC_006_ACCEPT_SEARCH_FND1 '','','','','','1','10';
2018-03-30 17:53:54 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-30 17:53:54 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-30 17:53:57 EXEC SPC_COM_GET_COMBOBOX 'rcv_status_div';
2018-03-30 17:54:00 EXEC SPC_006_ACCEPT_SEARCH_FND1 '','','','','','1','10';
2018-03-30 17:54:19 EXEC SPC_COM_GET_COMBOBOX 'inv_data_div';
2018-03-30 17:54:22 EXEC SPC_015_INVOICE_SEARCH_FND1 '','','','','','','','','1','10';
2018-03-30 17:54:25 EXEC SPC_GET_CONSTANT '';
2018-03-30 17:54:26 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-30 18:00:11 EXEC SPC_GET_CONSTANT '';
2018-03-30 18:00:11 EXEC SPC_016_INVOICE_EXPORT_ACT1 '[{"inv_no":"E-180301001"}]','','015-invoice-search','';
2018-03-30 18:01:42 EXEC SPC_COM_GET_COMBOBOX 'fwd_status_div';
2018-03-30 18:01:44 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','90','1','10';
2018-03-30 18:01:47 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','10','1','10';
2018-03-30 18:01:49 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','20','1','10';
2018-03-30 18:03:31 EXEC SPC_COM_GET_COMBOBOX 'in_out_div';
2018-03-30 18:03:32 EXEC SPC_COM_GET_COMBOBOX 'in_out_data_div';
2018-03-30 18:03:38 EXEC SPC_011_SHIPMENT_SEARCH_FND1 '','','','','','10','1','10';
2018-03-30 18:04:12 EXEC SPC_WAREHOUSE_SEARCH '','','1','10';
2018-03-30 18:04:25 EXEC SPC_COMPONENT_PRODUCT_FND '','','','','1','10';
2018-03-30 18:04:27 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '00001';
2018-03-30 18:04:34 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '0003';
2018-03-30 18:04:41 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '0003';
2018-03-30 18:04:55 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT2 '[{"in_out_detail_no":"1","item_cd":"00001","serial_no":"","in_out_qty":"20","detail_remarks":""},{"in_out_detail_no":"2","item_cd":"0003","serial_no":"20","in_out_qty":"1","detail_remarks":""},{"in_out_detail_no":"3","item_cd":"0003","serial_no":"90","in_out_qty":"1","detail_remarks":""}]';
2018-03-30 18:05:24 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT2 '[{"in_out_detail_no":"1","item_cd":"00001","serial_no":"","in_out_qty":"20","detail_remarks":""},{"in_out_detail_no":"2","item_cd":"0003","serial_no":"90","in_out_qty":"1","detail_remarks":""},{"in_out_detail_no":"3","item_cd":"0003","serial_no":"20","in_out_qty":"1","detail_remarks":""}]';
2018-03-30 18:05:38 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '00001';
2018-03-30 18:05:49 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '0003';
2018-03-30 18:05:53 EXEC SPC_048_INPUT_OUTPUT_DETAIL_ACT2 '[{"in_out_detail_no":"1","item_cd":"00001","serial_no":"","in_out_qty":"20","detail_remarks":""},{"in_out_detail_no":"2","item_cd":"0003","serial_no":"90","in_out_qty":"1","detail_remarks":""},{"in_out_detail_no":"3","item_cd":"0003","serial_no":"20","in_out_qty":"1","detail_remarks":""}]';
2018-03-30 18:07:06 EXEC SPC_048_INPUT_OUTPUT_DETAIL_INQ2 '00001';
